# ----------------------------------------
# candide-babylonstoren-shop
# Split-test results-CRO-6718
# 20260201-20260302
# ----------------------------------------

Segment,CRO-6718 CTRL,CRO-6718 VAR
Event name,Active users,Active users
,2778,2807,Grand total
experience_impression,2778,2807
page_view,2778,2805
page_load_time,2766,2794
session_start,2750,2783
performance_timing,2348,2399
user_engagement,2154,2178
view_item,2031,1998
associations_viewed,1986,1977
select_item,1723,1707
first_visit,1552,1627
add_to_cart,1528,1515
login,1465,1437
view_cart,1099,1081
begin_checkout,1098,1081
remove_from_cart,984,960
purchase,957,924
purchase_excl_subscriptions,956,923
search,815,825
logout,474,479
checkout_gift,204,188
wishlist_button_click_activate,181,147
sign_up,111,109
EEShopAdClick,54,40
click,38,40
wishlist_button_click_deativate,37,29
product_share_button_click_event,9,12
file_download,7,6
add_payment_info,0,1
add_shipping_info,0,1
delivery_address,0,1
experiment_viewed,0,1

