# ----------------------------------------
# candide-babylonstoren-shop
# Split-test results-CRO-6718
# 20260304-20260402
# ----------------------------------------

Segment,CRO-7731 CTRL,CRO-7731 VAR
Event name,Active users,Active users
,29848,29175,Grand total
experience_impression,29848,29175
page_view,29802,29115
view_item,29659,29024
page_load_time,29537,28935
session_start,28816,28140
user_engagement,21687,21296
first_visit,20213,19739
associations_viewed,19931,18485
performance_timing,18436,18282
select_item,13111,12978
add_to_cart,7765,7630
login,5992,6085
view_cart,4383,4503
begin_checkout,4382,4503
search,4269,4189
purchase,3676,3702
purchase_excl_subscriptions,3658,3690
remove_from_cart,3568,3596
logout,2740,2783
checkout_gift,1342,1365
wishlist_button_click_activate,909,912
sign_up,764,799
EEShopAdClick,742,788
click,202,214
product_share_button_click_event,160,187
wishlist_button_click_deativate,86,82
file_download,32,44
add_payment_info,0,1
add_shipping_info,0,1
delivery_address,0,1
experiment_viewed,0,1

